"BehaviorSpace results (NetLogo 3D 6.1.0)"
"MacrophageDifferentiationModel.nlogo3d"
"NinaExploInAbsenceOfMonocytes"
"07/23/2020 13:58:51:885 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-72","72","-72","72"
"[run number]","gui-death_rate","[step]","getViability","getRemainingCellRatio","getSeed"
"1","1.001","143","94","100","40"
"3","1.001","141","94","100","90"
"2","1.001","141","94","100","38"
"1","1.001","144","94","100","40"
"4","1.001","135","94","100","140"
"3","1.001","142","94","100","90"
"2","1.001","142","94","100","38"
"4","1.001","136","94","100","140"
"1","1.001","145","94","100","40"
"3","1.001","143","94","100","90"
"2","1.001","143","94","100","38"
"4","1.001","137","94","100","140"
"1","1.001","146","94","100","40"
"3","1.001","144","94","100","90"
"2","1.001","144","94","100","38"
"4","1.001","138","94","100","140"
"1","1.001","147","94","100","40"
"3","1.001","145","94","100","90"
"2","1.001","145","94","100","38"
"4","1.001","139","94","100","140"
"1","1.001","148","94","100","40"
"3","1.001","146","94","100","90"
"2","1.001","146","94","100","38"
"4","1.001","140","94","100","140"
"1","1.001","149","94","100","40"
"3","1.001","147","94","100","90"
"2","1.001","147","94","100","38"
"4","1.001","141","94","100","140"
"1","1.001","150","94","100","40"
"3","1.001","148","94","100","90"
"2","1.001","148","94","100","38"
"4","1.001","142","94","100","140"
"1","1.001","151","94","100","40"
"3","1.001","149","94","100","90"
"2","1.001","149","94","100","38"
"1","1.001","152","94","100","40"
"4","1.001","143","94","100","140"
"3","1.001","150","94","100","90"
"2","1.001","150","94","100","38"
"1","1.001","153","94","100","40"
"4","1.001","144","94","100","140"
"3","1.001","151","94","100","90"
"2","1.001","151","94","100","38"
"4","1.001","145","94","100","140"
"1","1.001","154","94","100","40"
"3","1.001","152","94","100","90"
"2","1.001","152","94","100","38"
"4","1.001","146","94","100","140"
"3","1.001","153","94","100","90"
"1","1.001","155","94","100","40"
"2","1.001","153","94","100","38"
"4","1.001","147","94","100","140"
"3","1.001","154","94","100","90"
"1","1.001","156","94","100","40"
"2","1.001","154","94","100","38"
"4","1.001","148","94","100","140"
"1","1.001","157","94","100","40"
"3","1.001","155","94","100","90"
"2","1.001","155","94","100","38"
"4","1.001","149","94","100","140"
"1","1.001","158","94","100","40"
"3","1.001","156","94","100","90"
"2","1.001","156","94","100","38"
"1","1.001","159","94","100","40"
"4","1.001","150","94","100","140"
"3","1.001","157","94","100","90"
"2","1.001","157","94","100","38"
"1","1.001","160","94","100","40"
"4","1.001","151","94","100","140"
"3","1.001","158","94","100","90"
"2","1.001","158","94","100","38"
"1","1.001","161","94","100","40"
"4","1.001","152","94","100","140"
"3","1.001","159","94","100","90"
"2","1.001","159","94","100","38"
"1","1.001","162","94","100","40"
"3","1.001","160","94","100","90"
"4","1.001","153","94","100","140"
"2","1.001","160","94","100","38"
"1","1.001","163","94","100","40"
"4","1.001","154","94","100","140"
"3","1.001","161","94","100","90"
"2","1.001","161","94","100","38"
"1","1.001","164","94","100","40"
"4","1.001","155","94","100","140"
"3","1.001","162","94","100","90"
"2","1.001","162","94","100","38"
"1","1.001","165","94","100","40"
"4","1.001","156","94","100","140"
"3","1.001","163","94","100","90"
"2","1.001","163","94","100","38"
"1","1.001","166","94","100","40"
"4","1.001","157","94","100","140"
"3","1.001","164","94","100","90"
"2","1.001","164","94","100","38"
"1","1.001","167","94","100","40"
"4","1.001","158","94","100","140"
"3","1.001","165","94","100","90"
"2","1.001","165","94","100","38"
"1","1.001","168","94","100","40"
"4","1.001","159","94","100","140"
"3","1.001","166","94","100","90"
"2","1.001","166","94","100","38"
"1","1.001","169","94","100","40"
"4","1.001","160","94","100","140"
"3","1.001","167","94","100","90"
"2","1.001","167","94","100","38"
"1","1.001","170","94","100","40"
"4","1.001","161","94","100","140"
"3","1.001","168","94","100","90"
"2","1.001","168","94","100","38"
"1","1.001","171","94","100","40"
"4","1.001","162","94","100","140"
"3","1.001","169","94","100","90"
"2","1.001","169","94","100","38"
"1","1.001","172","94","100","40"
"3","1.001","170","94","100","90"
"4","1.001","163","94","100","140"
"2","1.001","170","94","100","38"
"1","1.001","173","94","100","40"
"3","1.001","171","94","100","90"
"4","1.001","164","94","100","140"
"2","1.001","171","94","100","38"
"1","1.001","174","94","100","40"
"3","1.001","172","94","100","90"
"4","1.001","165","94","100","140"
"1","1.001","175","94","100","40"
"2","1.001","172","94","100","38"
"3","1.001","173","94","100","90"
"4","1.001","166","94","100","140"
"1","1.001","176","94","100","40"
"2","1.001","173","94","100","38"
"3","1.001","174","94","100","90"
"4","1.001","167","94","100","140"
"1","1.001","177","94","100","40"
"2","1.001","174","94","100","38"
"4","1.001","168","94","100","140"
"3","1.001","175","94","100","90"
"1","1.001","178","94","100","40"
"2","1.001","175","94","100","38"
"4","1.001","169","94","100","140"
"3","1.001","176","94","100","90"
"2","1.001","176","94","100","38"
"1","1.001","179","94","100","40"
"3","1.001","177","94","100","90"
"4","1.001","170","94","100","140"
"2","1.001","177","94","100","38"
"1","1.001","180","94","100","40"
"3","1.001","178","94","100","90"
"4","1.001","171","94","100","140"
"2","1.001","178","94","100","38"
"1","1.001","181","94","100","40"
"4","1.001","172","94","100","140"
"3","1.001","179","94","100","90"
"2","1.001","179","94","100","38"
"1","1.001","182","94","100","40"
"3","1.001","180","94","100","90"
"4","1.001","173","94","100","140"
"2","1.001","180","94","100","38"
"1","1.001","183","94","100","40"
"3","1.001","181","94","100","90"
"4","1.001","174","94","100","140"
"2","1.001","181","94","100","38"
"1","1.001","184","94","100","40"
"3","1.001","182","94","100","90"
"4","1.001","175","94","100","140"
"2","1.001","182","94","100","38"
"1","1.001","185","94","100","40"
"3","1.001","183","94","100","90"
"4","1.001","176","94","100","140"
"2","1.001","183","94","100","38"
"1","1.001","186","94","100","40"
"3","1.001","184","94","100","90"
"4","1.001","177","94","100","140"
"2","1.001","184","94","100","38"
"1","1.001","187","94","100","40"
"3","1.001","185","94","100","90"
"4","1.001","178","94","100","140"
"2","1.001","185","94","100","38"
"1","1.001","188","94","100","40"
"3","1.001","186","94","100","90"
"4","1.001","179","94","100","140"
"2","1.001","186","94","100","38"
"1","1.001","189","94","100","40"
"3","1.001","187","94","100","90"
"4","1.001","180","94","100","140"
"2","1.001","187","94","100","38"
"1","1.001","190","94","100","40"
"3","1.001","188","94","100","90"
"4","1.001","181","94","100","140"
"1","1.001","191","94","100","40"
"2","1.001","188","94","100","38"
"3","1.001","189","94","100","90"
"4","1.001","182","94","100","140"
"1","1.001","192","94","100","40"
"2","1.001","189","94","100","38"
"3","1.001","190","94","100","90"
