BehaviorSpace results (NetLogo 3D 6.1.0);;;;;;;
CLL-update-fusionReversible-forSeedExperiment_test_deleting_some_parameters_as_theyre_probably_dependent-cleaningUpTheCode.nlogo3d;;;;;;;
NinaExploInAbsenceOfMonocytes;;;;;;;
06/13/2020 19:10:48:149 +0200;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;
-72;72;-72;72;;;;
[run number];gui-LateApoThreshold;gui-apoptosisDuration;gui-disintegrationDuration;gui-death_rate;[step];getViability;getRemainingCellRatio
956;30;24;50;1.007;216;41.48;100
963;30;36;10;1.007;216;41.48;100
964;30;36;10;1.007;216;41.48;100
971;30;36;20;1.007;216;41.48;100
972;30;36;20;1.007;216;41.48;100
979;30;36;30;1.007;216;41.48;100
980;30;36;30;1.007;216;41.48;100
987;30;36;50;1.007;216;41.48;100
988;30;36;50;1.007;216;41.48;100
995;30;48;10;1.007;216;41.48;100
996;30;48;10;1.007;216;41.48;100
1003;30;48;20;1.007;216;41.48;100
1004;30;48;20;1.007;216;41.48;100
1011;30;48;30;1.007;216;41.48;100
1012;30;48;30;1.007;216;41.48;100
1020;30;48;50;1.007;216;41.48;100
1019;30;48;50;1.007;216;41.48;100
1027;50;12;10;1.007;216;64.89361702;63.92
1028;50;12;10;1.007;216;64.89361702;63.92
1036;50;12;20;1.007;216;56.45073489;73.48
1035;50;12;20;1.007;216;56.45073489;73.48
1043;50;12;30;1.007;216;49.85576923;83.2
1044;50;12;30;1.007;216;49.85576923;83.2
1051;50;12;50;1.007;216;41.49659864;99.96
1052;50;12;50;1.007;216;41.49659864;99.96
1059;50;24;10;1.007;216;54.98409332;75.44
1060;50;24;10;1.007;216;54.98409332;75.44
1067;50;24;20;1.007;216;48.91509434;84.8
1068;50;24;20;1.007;216;48.91509434;84.8
1075;50;24;30;1.007;216;44.67901766;92.84
1076;50;24;30;1.007;216;44.67901766;92.84
1083;50;24;50;1.007;216;41.48;100
1084;50;24;50;1.007;216;41.48;100
1091;50;36;10;1.007;216;48.00925926;86.4
1092;50;36;10;1.007;216;48.00925926;86.4
1099;50;36;20;1.007;216;43.82924768;94.64
1100;50;36;20;1.007;216;43.82924768;94.64
1107;50;36;30;1.007;216;41.48;100
1108;50;36;30;1.007;216;41.48;100
1115;50;36;50;1.007;216;41.48;100
1116;50;36;50;1.007;216;41.48;100
1123;50;48;10;1.007;216;42.95774648;96.56
1124;50;48;10;1.007;216;42.95774648;96.56
1132;50;48;20;1.007;216;41.48;100
1131;50;48;20;1.007;216;41.48;100
1139;50;48;30;1.007;216;41.48;100
1140;50;48;30;1.007;216;41.48;100
1147;50;48;50;1.007;216;41.48;100
1148;50;48;50;1.007;216;41.48;100
5;1;12;10;1.01;216;23.24;100
6;1;12;10;1.01;216;23.24;100
13;1;12;20;1.01;216;23.24;100
14;1;12;20;1.01;216;23.24;100
21;1;12;30;1.01;216;23.24;100
22;1;12;30;1.01;216;23.24;100
29;1;12;50;1.01;216;23.24;100
30;1;12;50;1.01;216;23.24;100
37;1;24;10;1.01;216;23.24;100
38;1;24;10;1.01;216;23.24;100
45;1;24;20;1.01;216;23.24;100
46;1;24;20;1.01;216;23.24;100
53;1;24;30;1.01;216;23.24;100
54;1;24;30;1.01;216;23.24;100
61;1;24;50;1.01;216;23.24;100
62;1;24;50;1.01;216;23.24;100
69;1;36;10;1.01;216;23.24;100
70;1;36;10;1.01;216;23.24;100
77;1;36;20;1.01;216;23.24;100
78;1;36;20;1.01;216;23.24;100
85;1;36;30;1.01;216;23.24;100
86;1;36;30;1.01;216;23.24;100
93;1;36;50;1.01;216;23.24;100
94;1;36;50;1.01;216;23.24;100
101;1;48;10;1.01;216;23.24;100
102;1;48;10;1.01;216;23.24;100
